iter,objective,truck,lateness,energy,drone_bonus,peak_kW,energy_kWh
1,12.7372811731813,0,0,14.2372811731813,-1.5,3,35.5932029329532
2,35515.430524113,384.095876918505,0,7.05314542390224,-0.85,3,17.6328635597556
3,76999.4164538369,350.749675971482,0,7.67685332789772,-0.95,3,19.1921333197443
4,104757.039750219,389.179006347919,0,6.95807048546489,-0.8,3,17.3951762136622
5,153775.153179962,350.749675971482,0,7.67685332789772,-0.95,3,19.1921333197443
6,176566.678078268,384.095876918505,0,7.05314542390224,-0.85,3,17.6328635597556
7,218863.808404941,371.582072233295,0,7.28720383744148,-0.9,3,18.2180095936037
8,268913.971845728,350.749675971482,0,7.67685332789772,-0.95,3,19.1921333197443
9,291722.202056326,371.582072233295,0,7.28720383744148,-0.9,3,18.2180095936037
10,317629.586556313,384.095876918505,0,7.05314542390224,-0.85,3,17.6328635597556
11,364598.56203986,371.582072233295,0,7.28720383744148,-0.9,3,18.2180095936037
12,422451.038403683,350.749675971482,0,7.67685332789772,-0.95,3,19.1921333197443
13,437474.31587572,371.582072233295,0,7.28720383744148,-0.9,3,18.2180095936037
14,499233.45068272,350.749675971482,0,7.67685332789772,-0.95,3,19.1921333197443
15,510342.884239013,371.582072233295,0,7.28720383744148,-0.9,3,18.2180095936037
