time_h,Pdepot_kW,tariff_usd_per_kWh
0,0,0.4
0.5,0,0.4
1,0,0.4
1.5,0,0.4
2,0,0.4
2.5,0,0.4
3,0,0.6
3.5,0,0.6
4,0,0.6
4.5,0,0.6
5,0,0.6
5.5,0,0.6
6,0,0.6
6.5,0,0.6
7,0,0.6
7.5,0,0.6
8,0,0.6
8.5,0,0.6
9,0,0.4
9.5,0,0.4
10,0,0.4
10.5,0,0.4
11,0,0.4
11.5,0.496224694003911,0.4
