iter,objective,truck,lateness,energy,drone_bonus,peak_kW,energy_kWh
1,1.39194656598153,0,0,0.770973282990764,-0.15,3,1.92743320747691
2,58.8008540804705,42.5314409951046,0,0,-0,0,0
3,58.8008540804705,42.5314409951046,0,0,-0,0,0
4,58.8008540804705,42.5314409951046,0,0,-0,0,0
5,58.8008540804705,42.5314409951046,0,0,-0,0,0
6,58.8008540804705,42.5314409951046,0,0,-0,0,0
7,58.8008540804705,42.5314409951046,0,0,-0,0,0
8,58.8008540804705,42.5314409951046,0,0,-0,0,0
9,58.8008540804705,42.5314409951046,0,0,-0,0,0
10,58.8008540804705,42.5314409951046,0,0,-0,0,0
11,58.8008540804705,42.5314409951046,0,0,-0,0,0
12,58.8008540804705,42.5314409951046,0,0,-0,0,0
13,58.8008540804705,42.5314409951046,0,0,-0,0,0
14,58.8008540804705,42.5314409951046,0,0,-0,0,0
15,58.8008540804705,42.5314409951046,0,0,-0,0,0
