iter,objective,truck,lateness,energy,drone_bonus,peak_kW,energy_kWh
1,11.533393634153,0,0,13.033393634153,-1.5,5,32.5834840853825
2,27448414.5294488,401.643999839326,0,5.4896315601821,-0.8,5,13.7240789004553
3,58968003.9325961,379.966824573084,0,5.89677682491831,-0.85,5,14.7419420622958
4,82344719.356637,401.643999839326,0,5.4896315601821,-0.8,5,13.7240789004553
5,109792859.692046,401.643999839326,0,5.4896315601821,-0.8,5,13.7240789004553
6,158602343.286346,356.151251696645,0,6.3440859232916,-0.9,5,15.860214808229
7,176903540.166851,379.966824573084,0,5.89677682491831,-0.85,5,14.7419420622958
8,192137349.038448,401.643999839326,0,5.4896315601821,-0.8,5,13.7240789004553
9,231791030.186692,385.398091386861,0,5.79476562938253,-0.75,5,14.4869140734563
10,282907914.282541,359.199393479166,0,6.28683508328338,-0.8,5,15.7170877082084
11,294839070.889222,379.966824573084,0,5.89677682491831,-0.85,5,14.7419420622958
12,281357122.120747,421.559233715567,0,5.11557944918343,-0.75,5,12.7889486229586
13,329378123.63072,401.643999839326,0,5.4896315601821,-0.8,5,13.7240789004553
14,383290717.031224,379.966824573084,0,5.89677682491831,-0.85,5,14.7419420622958
15,384274458.157906,401.643999839326,0,5.4896315601821,-0.8,5,13.7240789004553
16,442258479.124541,379.966824573084,0,5.89677682491831,-0.85,5,14.7419420622958
17,471742369.404999,379.966824573084,0,5.89677682491831,-0.85,5,14.7419420622958
18,466618930.096686,401.643999839326,0,5.4896315601821,-0.8,5,13.7240789004553
19,494067095.105036,401.643999839326,0,5.4896315601821,-0.8,5,13.7240789004553
20,521515244.061908,401.643999839326,0,5.4896315601821,-0.8,5,13.7240789004553
21,633180401.55621,356.805356312342,0,6.33180039283608,-0.85,5,15.8295009820902
22,576411549.013054,401.643999839326,0,5.4896315601821,-0.8,5,13.7240789004553
23,697849653.855241,356.151251696645,0,6.3440859232916,-0.9,5,15.860214808229
24,631307883.39281,401.643999839326,0,5.4896315601821,-0.8,5,13.7240789004553
25,613869794.80304,421.559233715567,0,5.11557944918343,-0.75,5,12.7889486229586
26,686204197.555302,401.643999839326,0,5.4896315601821,-0.8,5,13.7240789004553
27,713652333.939949,401.643999839326,0,5.4896315601821,-0.8,5,13.7240789004553
28,626541559.042967,446.82425087122,0,4.64104658352807,-0.65,5,11.6026164588202
29,716181388.908012,421.559233715567,0,5.11557944918343,-0.75,5,12.7889486229586
30,795996812.079805,401.643999839326,0,5.4896315601821,-0.8,5,13.7240789004553
