iter,objective,truck,lateness,energy,drone_bonus,peak_kW,energy_kWh
1,12.3844825852822,0,0,13.8844825852822,-1.5,12,34.7112064632054
2,42369968.6307597,287.065397996738,0,8.47394933852566,-1,12,21.1848733463142
3,87837323.5257674,270.630376377039,0,8.78371231067445,-1.05,12,21.9592807766861
4,131755885.07914,270.630376377039,0,8.78371231067445,-1.05,12,21.9592807766861
5,175674446.632512,270.630376377039,0,8.78371231067445,-1.05,12,21.9592807766861
6,219593008.185884,270.630376377039,0,8.78371231067445,-1.05,12,21.9592807766861
7,254218701.282792,287.065397996738,0,8.47394933852566,-1,12,21.1848733463142
8,296588448.78653,287.065397996738,0,8.47394933852566,-1,12,21.1848733463142
9,351348692.846001,270.630376377039,0,8.78371231067445,-1.05,12,21.9592807766861
10,381327941.360677,287.065397996738,0,8.47394933852566,-1,12,21.1848733463142
11,423697688.053305,287.065397996738,0,8.47394933852566,-1,12,21.1848733463142
12,483104381.792573,270.630376377039,0,8.78371231067445,-1.05,12,21.9592807766861
13,508437316.233054,287.065397996738,0,8.47394933852566,-1,12,21.1848733463142
14,542662113.688406,293.713678271697,0,8.34864429754044,-0.95,12,20.8716107438511
15,593176674.823818,287.065397996738,0,8.47394933852566,-1,12,21.1848733463142
16,690864046.647266,247.932392157788,0,9.21151795743514,-1.1,12,23.0287948935879
17,702697185.272978,270.630376377039,0,8.78371231067445,-1.05,12,21.9592807766861
18,746615746.826351,270.630376377039,0,8.78371231067445,-1.05,12,21.9592807766861
19,790534308.379723,270.630376377039,0,8.78371231067445,-1.05,12,21.9592807766861
20,834452869.933095,270.630376377039,0,8.78371231067445,-1.05,12,21.9592807766861
21,878371431.486467,270.630376377039,0,8.78371231067445,-1.05,12,21.9592807766861
22,967209585.37032,247.932392157788,0,9.21151795743514,-1.1,12,23.0287948935879
23,966208554.593212,270.630376377039,0,8.78371231067445,-1.05,12,21.9592807766861
24,974504395.057472,287.065397996738,0,8.47394933852566,-1,12,21.1848733463142
25,1054045677.69996,270.630376377039,0,8.78371231067445,-1.05,12,21.9592807766861
26,1097964239.25333,270.630376377039,0,8.78371231067445,-1.05,12,21.9592807766861
27,1141882800.8067,270.630376377039,0,8.78371231067445,-1.05,12,21.9592807766861
28,1185801362.36007,270.630376377039,0,8.78371231067445,-1.05,12,21.9592807766861
29,1229719923.91345,270.630376377039,0,8.78371231067445,-1.05,12,21.9592807766861
30,1228722875.21324,287.065397996738,0,8.47394933852566,-1,12,21.1848733463142
