iter,objective,truck,lateness,energy,drone_bonus,peak_kW,energy_kWh
1,2.32924887838225,0,0,1.36462443919112,-0.4,3,3.41156109797781
2,85.7782349528797,72.7958973037934,0,0,-0,0,0
3,85.7782349528797,72.7958973037934,0,0,-0,0,0
4,85.7782349528797,72.7958973037934,0,0,-0,0,0
5,85.7782349528797,72.7958973037934,0,0,-0,0,0
6,85.7782349528797,72.7958973037934,0,0,-0,0,0
7,85.7782349528797,72.7958973037934,0,0,-0,0,0
8,85.7782349528797,72.7958973037934,0,0,-0,0,0
9,85.7782349528797,72.7958973037934,0,0,-0,0,0
10,85.7782349528797,72.7958973037934,0,0,-0,0,0
11,85.7782349528797,72.7958973037934,0,0,-0,0,0
12,85.7782349528797,72.7958973037934,0,0,-0,0,0
13,85.7782349528797,72.7958973037934,0,0,-0,0,0
14,85.7782349528797,72.7958973037934,0,0,-0,0,0
15,85.7782349528797,72.7958973037934,0,0,-0,0,0
