iter,objective,truck,lateness,energy,drone_bonus,peak_kW,energy_kWh
1,11.2779813765572,0,0,12.7779813765572,-1.5,3,31.9449534413929
2,41693.3572374062,237.549659126442,0,8.30066223515574,-1.05,3,20.7516555878894
3,83196.6684131848,237.549659126442,0,8.30066223515574,-1.05,3,20.7516555878894
4,130115.913243433,218.30596740607,0,8.66336597300867,-1.1,3,21.6584149325217
5,166203.290764742,237.549659126442,0,8.30066223515574,-1.05,3,20.7516555878894
6,207706.601940521,237.549659126442,0,8.30066223515574,-1.05,3,20.7516555878894
7,266628.69578891,206.857686725914,0,8.87914235599272,-1.1,3,22.1978558899818
8,303383.232703606,218.30596740607,0,8.66336597300867,-1.1,3,21.6584149325217
9,346700.062568649,218.30596740607,0,8.66336597300867,-1.1,3,21.6584149325217
10,390016.892433693,218.30596740607,0,8.66336597300867,-1.1,3,21.6584149325217
11,433333.722298736,218.30596740607,0,8.66336597300867,-1.1,3,21.6584149325217
12,476650.552163779,218.30596740607,0,8.66336597300867,-1.1,3,21.6584149325217
13,498229.780170972,237.549659126442,0,8.30066223515574,-1.05,3,20.7516555878894
14,539733.09134675,237.549659126442,0,8.30066223515574,-1.05,3,20.7516555878894
15,581236.402522529,237.549659126442,0,8.30066223515574,-1.05,3,20.7516555878894
