iter,objective,truck,lateness,energy,drone_bonus,peak_kW,energy_kWh
1,1.98498916096356,0,0,1.06749458048178,-0.15,3,2.66873645120445
2,82.4133847976943,57.4050004867508,0,0,-0,0,0
3,82.4133847976943,57.4050004867508,0,0,-0,0,0
4,82.4133847976943,57.4050004867508,0,0,-0,0,0
5,82.4133847976943,57.4050004867508,0,0,-0,0,0
6,82.4133847976943,57.4050004867508,0,0,-0,0,0
7,82.4133847976943,57.4050004867508,0,0,-0,0,0
8,82.4133847976943,57.4050004867508,0,0,-0,0,0
9,82.4133847976943,57.4050004867508,0,0,-0,0,0
10,82.4133847976943,57.4050004867508,0,0,-0,0,0
11,82.4133847976943,57.4050004867508,0,0,-0,0,0
12,82.4133847976943,57.4050004867508,0,0,-0,0,0
13,82.4133847976943,57.4050004867508,0,0,-0,0,0
14,82.4133847976943,57.4050004867508,0,0,-0,0,0
15,82.4133847976943,57.4050004867508,0,0,-0,0,0
