iter,objective,truck,lateness,energy,drone_bonus,peak_kW,energy_kWh
1,5.35244268374354,0,0,2.87622134187177,-0.4,3,7.19055335467942
2,168.271713795038,152.645077801377,0,0,-0,0,0
3,168.271713795038,152.645077801377,0,0,-0,0,0
4,168.271713795038,152.645077801377,0,0,-0,0,0
5,168.271713795038,152.645077801377,0,0,-0,0,0
6,168.271713795038,152.645077801377,0,0,-0,0,0
7,168.271713795038,152.645077801377,0,0,-0,0,0
8,168.271713795038,152.645077801377,0,0,-0,0,0
9,168.271713795038,152.645077801377,0,0,-0,0,0
10,168.271713795038,152.645077801377,0,0,-0,0,0
11,168.271713795038,152.645077801377,0,0,-0,0,0
12,168.271713795038,152.645077801377,0,0,-0,0,0
13,168.271713795038,152.645077801377,0,0,-0,0,0
14,168.271713795038,152.645077801377,0,0,-0,0,0
15,168.271713795038,152.645077801377,0,0,-0,0,0
