iter,objective,truck,lateness,energy,drone_bonus,peak_kW,energy_kWh
1,1.39739849464124,0,0,0.773699247320622,-0.15,3,1.93424811830155
2,73.050535149327,42.3065378480224,0,0,-0,0,0
3,73.050535149327,42.3065378480224,0,0,-0,0,0
4,73.050535149327,42.3065378480224,0,0,-0,0,0
5,73.050535149327,42.3065378480224,0,0,-0,0,0
6,73.050535149327,42.3065378480224,0,0,-0,0,0
7,73.050535149327,42.3065378480224,0,0,-0,0,0
8,73.050535149327,42.3065378480224,0,0,-0,0,0
9,73.050535149327,42.3065378480224,0,0,-0,0,0
10,73.050535149327,42.3065378480224,0,0,-0,0,0
11,73.050535149327,42.3065378480224,0,0,-0,0,0
12,73.050535149327,42.3065378480224,0,0,-0,0,0
13,73.050535149327,42.3065378480224,0,0,-0,0,0
14,73.050535149327,42.3065378480224,0,0,-0,0,0
15,73.050535149327,42.3065378480224,0,0,-0,0,0
