iter,objective,truck,lateness,energy,drone_bonus,peak_kW,energy_kWh
1,12.2947378682651,0,0,13.7947378682651,-1.5,3,34.4868446706627
2,27924.6780209056,439.241441435018,0,5.53250137986424,-0.75,3,13.8312534496606
3,60331.3723737866,413.910008416519,0,6.00899168894154,-0.8,3,15.0224792223538
4,90392.2524824071,413.910008416519,0,6.00899168894154,-0.8,3,15.0224792223538
5,130133.814720898,388.054484808589,0,6.49534026725926,-0.85,3,16.2383506681481
6,138555.512068355,439.241441435018,0,5.53250137986424,-0.75,3,13.8312534496606
7,195082.856815851,388.054484808589,0,6.49534026725926,-0.85,3,16.2383506681481
8,193896.008514352,439.241441435018,0,5.53250137986424,-0.75,3,13.8312534496606
9,209080.952504716,455.853571044433,0,5.22002325175198,-0.7,3,13.0500581293799
10,270644.795610307,413.910008416519,0,6.00899168894154,-0.8,3,15.0224792223538
11,300706.434511441,413.910008416519,0,6.00899168894154,-0.8,3,15.0224792223538
12,330744.550608052,413.910008416519,0,6.00899168894154,-0.8,3,15.0224792223538
13,360788.284605732,413.910008416519,0,6.00899168894154,-0.8,3,15.0224792223538
14,359876.038337803,439.241441435018,0,5.53250137986424,-0.75,3,13.8312534496606
15,420866.756951905,413.910008416519,0,6.00899168894154,-0.8,3,15.0224792223538
