iter,objective,truck,lateness,energy,drone_bonus,peak_kW,energy_kWh
1,9.84472078544892,0,0,11.3447207854489,-1.5,3,28.3618019636223
2,28886.3835120587,298.058387884552,0,5.74249662982754,-0.95,3,14.3562415745688
3,52566.6247153862,325.027155502102,0,5.23559903010993,-0.8,3,13.0889975752748
4,83752.5019307052,307.205719222424,0,5.57056588516971,-0.9,3,13.9264147129243
5,104916.69924726,325.027155502102,0,5.23559903010993,-0.8,3,13.0889975752748
6,131102.980023933,325.027155502102,0,5.23559903010993,-0.8,3,13.0889975752748
7,182894.845850408,279.521640758133,0,6.09090827244333,-1,3,15.2272706811083
8,195161.568200272,307.205719222424,0,5.57056588516971,-0.9,3,13.9264147129243
9,209643.164114736,325.027155502102,0,5.23559903010993,-0.8,3,13.0889975752748
10,250868.262632233,307.205719222424,0,5.57056588516971,-0.9,3,13.9264147129243
11,287298.731854298,298.058387884552,0,5.74249662982754,-0.95,3,14.3562415745688
12,281368.350084506,331.619211563887,0,5.1116965425247,-0.75,3,12.7792413563118
13,324182.230698996,316.295451040453,0,5.39971776537513,-0.85,3,13.4992944134378
14,362262.632836912,307.205719222424,0,5.57056588516971,-0.9,3,13.9264147129243
15,366700.741311317,325.027155502102,0,5.23559903010993,-0.8,3,13.0889975752748
16,392894.196132293,325.027155502102,0,5.23559903010993,-0.8,3,13.0889975752748
17,432173.076211007,316.295451040453,0,5.39971776537513,-0.85,3,13.4992944134378
18,459186.382275691,316.295451040453,0,5.39971776537513,-0.85,3,13.4992944134378
19,514784.90419553,299.436561448596,0,5.7165928554499,-0.8,3,14.2914821386247
20,513172.30089676,316.295451040453,0,5.39971776537513,-0.85,3,13.4992944134378
21,540174.214868649,316.295451040453,0,5.39971776537513,-0.85,3,13.4992944134378
22,603136.046494813,298.058387884552,0,5.74249662982754,-0.95,3,14.3562415745688
23,612951.78290922,307.205719222424,0,5.57056588516971,-0.9,3,13.9264147129243
24,621164.229997274,316.295451040453,0,5.39971776537513,-0.85,3,13.4992944134378
25,613627.013045508,331.619211563887,0,5.1116965425247,-0.75,3,12.7792413563118
26,717998.405027315,298.058387884552,0,5.74249662982754,-0.95,3,14.3562415745688
27,724362.549228658,307.205719222424,0,5.57056588516971,-0.9,3,13.9264147129243
28,729162.590592179,316.295451040453,0,5.39971776537513,-0.85,3,13.4992944134378
29,780069.001537379,307.205719222424,0,5.57056588516971,-0.9,3,13.9264147129243
30,759377.963846006,325.027155502102,0,5.23559903010993,-0.8,3,13.0889975752748
