iter,objective,truck,lateness,energy,drone_bonus,peak_kW,energy_kWh
1,9.30840543326932,0,0,10.8084054332693,-1.5,5,27.0210135831733
2,26123639.7230207,297.825608241519,0,5.22468276296181,-0.8,5,13.0617069074045
3,52247058.4741364,297.825608241519,0,5.22468276296181,-0.8,5,13.0617069074045
4,84713230.5025135,275.271459270447,0,5.64753462470345,-0.9,5,14.1188365617586
5,104493886.275378,297.825608241519,0,5.22468276296181,-0.8,5,13.0617069074045
6,135720949.563557,286.936796157255,0,5.42882943539407,-0.85,5,13.5720735884852
7,150949454.892745,308.122117414626,0,5.03164076085068,-0.75,5,12.5791019021267
8,184974791.611092,294.609141206778,0,5.28498603911802,-0.75,5,13.2124650977951
9,224623317.414674,276.976101568917,0,5.61557548625687,-0.75,5,14.0389387156422
10,244297539.269211,286.936796157255,0,5.42882943539407,-0.85,5,13.5720735884852
11,271441695.071633,286.936796157255,0,5.42882943539407,-0.85,5,13.5720735884852
12,287357769.409796,297.825608241519,0,5.22468276296181,-0.8,5,13.0617069074045
13,313481181.956038,297.825608241519,0,5.22468276296181,-0.8,5,13.0617069074045
14,352874117.691424,286.936796157255,0,5.42882943539407,-0.85,5,13.5720735884852
15,365728012.736921,297.825608241519,0,5.22468276296181,-0.8,5,13.0617069074045
16,391851424.45764,297.825608241519,0,5.22468276296181,-0.8,5,13.0617069074045
17,451802972.314163,275.271459270447,0,5.64753462470345,-0.9,5,14.1188365617586
18,461450715.984884,286.936796157255,0,5.42882943539407,-0.85,5,13.5720735884852
19,467830452.705395,299.242836789662,0,5.19811214259105,-0.65,5,12.9952803564776
20,510310915.523414,289.984469804799,0,5.3716907476299,-0.75,5,13.4292268690747
21,564753664.888659,275.271459270447,0,5.64753462470345,-0.9,5,14.1188365617586
22,570027295.41064,286.936796157255,0,5.42882943539407,-0.85,5,13.5720735884852
23,534572345.425272,317.29064947594,0,4.85974640755288,-0.7,5,12.1493660188822
24,624315599.190438,286.936796157255,0,5.42882943539407,-0.85,5,13.5720735884852
25,621996980.118114,300.032595606108,0,5.18330551050356,-0.75,5,12.9582637762589
26,607468534.210512,317.29064947594,0,4.85974640755288,-0.7,5,12.1493660188822
27,734179703.549336,275.271459270447,0,5.64753462470345,-0.9,5,14.1188365617586
28,732892189.724646,286.936796157255,0,5.42882943539407,-0.85,5,13.5720735884852
29,789118747.369252,275.856812133107,0,5.636560255949,-0.8,5,14.0914006398725
30,787180481.810845,286.936796157255,0,5.42882943539407,-0.85,5,13.5720735884852
