iter,objective,truck,lateness,energy,drone_bonus,peak_kW,energy_kWh
1,6.8584752942259,0,0,8.3584752942259,-1.5,5,20.8961882355647
2,26554536.5373657,215.188267042284,0,5.31087097433419,-1,5,13.2771774358355
3,55510111.9303875,198.233468427258,0,5.55099334816182,-1.1,5,13.8774833704046
4,81367534.1725804,207.165723348711,0,5.42449026758427,-1.05,5,13.5612256689607
5,111020045.412006,198.233468427258,0,5.55099334816182,-1.1,5,13.8774833704046
6,135612436.848423,207.165723348711,0,5.42449026758427,-1.05,5,13.5612256689607
7,166529978.893624,198.233468427258,0,5.55099334816182,-1.1,5,13.8774833704046
8,194284945.634433,198.233468427258,0,5.55099334816182,-1.1,5,13.8774833704046
9,216979790.862187,207.165723348711,0,5.42449026758427,-1.05,5,13.5612256689607
10,249794879.116051,198.233468427258,0,5.55099334816182,-1.1,5,13.8774833704046
11,265543730.382404,215.188267042284,0,5.31087097433419,-1,5,13.2771774358355
12,298347144.875951,207.165723348711,0,5.42449026758427,-1.05,5,13.5612256689607
13,325469596.213873,207.165723348711,0,5.42449026758427,-1.05,5,13.5612256689607
14,356178292.280995,203.270109031723,0,5.4796619141813,-1.05,5,13.6991547854533
15,388569712.820097,198.233468427258,0,5.55099334816182,-1.1,5,13.8774833704046
16,398315504.740759,215.188267042284,0,5.31087097433419,-1,5,13.2771774358355
17,424869860.22545,215.188267042284,0,5.31087097433419,-1,5,13.2771774358355
18,461081852.90348,207.165723348711,0,5.42449026758427,-1.05,5,13.5612256689607
19,514547477.300289,186.498325378265,0,5.71719233820077,-1.15,5,14.2929808455019
20,515326755.579322,207.165723348711,0,5.42449026758427,-1.05,5,13.5612256689607
21,555099513.264952,198.233468427258,0,5.55099334816182,-1.1,5,13.8774833704046
22,569571658.255165,207.165723348711,0,5.42449026758427,-1.05,5,13.5612256689607
23,610609446.74657,198.233468427258,0,5.55099334816182,-1.1,5,13.8774833704046
24,638364413.487379,198.233468427258,0,5.55099334816182,-1.1,5,13.8774833704046
25,666119380.228188,198.233468427258,0,5.55099334816182,-1.1,5,13.8774833704046
26,663859053.457469,215.188267042284,0,5.31087097433419,-1,5,13.2771774358355
27,705183914.944772,207.165723348711,0,5.42449026758427,-1.05,5,13.5612256689607
28,745761499.603271,200.12833113181,0,5.52415735081231,-1.05,5,13.8103933770308
29,743522118.072482,215.188267042284,0,5.31087097433419,-1,5,13.2771774358355
30,759733496.519595,220.224907646749,0,5.23953954035367,-0.95,5,13.0988488508842
