iter,objective,truck,lateness,energy,drone_bonus,peak_kW,energy_kWh
1,2.78665138946777,0,0,3.28665138946777,-0.5,5,8.21662847366942
2,7335739.09763499,131.509997604677,0,1.46712020713566,-0.25,5,3.66780051783916
3,14671340.1333133,131.509997604677,0,1.46712020713566,-0.25,5,3.66780051783916
4,22006941.1689916,131.509997604677,0,1.46712020713566,-0.25,5,3.66780051783916
5,29342542.2046699,131.509997604677,0,1.46712020713566,-0.25,5,3.66780051783916
6,36678143.2403482,131.509997604677,0,1.46712020713566,-0.25,5,3.66780051783916
7,44013744.2760266,131.509997604677,0,1.46712020713566,-0.25,5,3.66780051783916
8,51349345.3117049,131.509997604677,0,1.46712020713566,-0.25,5,3.66780051783916
9,58684946.3473832,131.509997604677,0,1.46712020713566,-0.25,5,3.66780051783916
10,66020547.3830615,131.509997604677,0,1.46712020713566,-0.25,5,3.66780051783916
11,73356148.4187398,131.509997604677,0,1.46712020713566,-0.25,5,3.66780051783916
12,80691749.4544181,131.509997604677,0,1.46712020713566,-0.25,5,3.66780051783916
13,88027350.4900964,131.509997604677,0,1.46712020713566,-0.25,5,3.66780051783916
14,95362951.5257747,131.509997604677,0,1.46712020713566,-0.25,5,3.66780051783916
15,102698552.561453,131.509997604677,0,1.46712020713566,-0.25,5,3.66780051783916
16,110034153.597131,131.509997604677,0,1.46712020713566,-0.25,5,3.66780051783916
17,117369754.63281,131.509997604677,0,1.46712020713566,-0.25,5,3.66780051783916
18,124705355.668488,131.509997604677,0,1.46712020713566,-0.25,5,3.66780051783916
19,144828403.732577,121.240686761619,0,1.60920317907954,-0.3,5,4.02300794769885
20,139376557.739845,131.509997604677,0,1.46712020713566,-0.25,5,3.66780051783916
21,146712158.775523,131.509997604677,0,1.46712020713566,-0.25,5,3.66780051783916
22,154047759.811201,131.509997604677,0,1.46712020713566,-0.25,5,3.66780051783916
23,161383360.84688,131.509997604677,0,1.46712020713566,-0.25,5,3.66780051783916
24,168718961.882558,131.509997604677,0,1.46712020713566,-0.25,5,3.66780051783916
25,176054562.918236,131.509997604677,0,1.46712020713566,-0.25,5,3.66780051783916
26,183390163.953915,131.509997604677,0,1.46712020713566,-0.25,5,3.66780051783916
27,190725764.989593,131.509997604677,0,1.46712020713566,-0.25,5,3.66780051783916
28,198061366.025271,131.509997604677,0,1.46712020713566,-0.25,5,3.66780051783916
29,205397053.944436,131.509997604677,0,1.46712020713566,-0.25,5,3.66780051783916
30,212732568.096628,131.509997604677,0,1.46712020713566,-0.25,5,3.66780051783916
